#name	name2
NM_001271317.1	Eya4
XM_008758600.1	Eya4
XM_006227722.3	Tbpl1
XM_006227721.2	Tbpl1
NM_001127201.1	Tbpl1
XM_006227723.1	Sgk1
XR_001835575.1	LOC108349468
XR_001835576.1	LOC108349468
XR_001835577.1	LOC108349469
XM_017590498.1	LOC501467
XM_017590496.1	LOC679711
XM_017590495.1	LOC679711
XM_017590492.1	LOC679711
XM_008758655.2	LOC679711
XM_017590494.1	LOC679711
XM_017590493.1	LOC679711
XR_001836245.1	LOC108349800
XM_008758659.2	LOC501467
XM_008758660.2	LOC501467
NM_021666.2	Trdn
XM_017590417.1	LOC102551716
XR_001835490.1	Tpd52l1
XM_006227739.3	Tpd52l1
XM_006227737.3	Tpd52l1
XM_008758674.2	Tpd52l1
NM_001044295.1	Tpd52l1
XM_008758672.2	Hddc2
XM_006227748.3	Trmt11
XM_006227750.3	Trmt11
XM_006227752.3	Trmt11
XM_008758673.2	Trmt11
XM_006227749.3	Trmt11
NM_001107452.1	Pdcd6
XM_006227784.3	Pdcd6
NM_001024964.1	Exoc3
XM_006227767.3	Exoc3
XM_006227768.3	Exoc3
XM_217737.8	Cep72
XM_006227801.2	Cep72
XM_006227800.2	Cep72
XM_008758697.2	Cep72
XM_008758681.1	Trip13
NM_001011930.1	Trip13
NM_001013144.2	Slc12a7
XM_017589092.1	Slc12a7
XM_017589091.1	Slc12a7
XM_006227789.3	Slc12a7
XM_008758688.2	Irx4
XM_008758685.1	Irx4
XM_017589079.1	Irx4
XM_008758687.2	Irx4
XM_006227779.3	Irx4
NM_001107330.1	Irx4
XR_589905.2	LOC103690948
XM_003748684.4	Adamts16
NM_001108403.1	Nsun2
XM_006227792.3	Nsun2
NM_031007.1	Adcy2
XR_001836213.1	RGD1566325
XM_006227824.3	LOC102551340
XR_589912.2	LOC102551340
XM_008758708.2	LOC102551340
XM_017589884.1	LOC102552482
XM_017589881.1	LOC102552482
XR_589915.2	LOC103690955
XM_017589700.1	Plekhg1
XM_017589701.1	Plekhg1
XM_008758706.2	Plekhg1
XM_008758707.2	Plekhg1
XM_006227838.3	Plekhg1
XM_006227844.3	Plekhg1
NM_001190999.1	Plekhg1
NM_001108462.2	Mthfd1l
XM_017588795.1	Esr1
XM_006227832.3	Esr1
XM_008758704.2	Esr1
NM_012689.1	Esr1
XM_017588797.1	Esr1
XM_017588796.1	Esr1
XM_008758713.2	Syne1
XM_006227851.3	Syne1
NM_001106206.1	Fbxo5
NM_001304734.1	Oprm1
NM_001304736.1	Oprm1
NM_001304738.1	Oprm1
NM_001304740.1	Oprm1
NM_001304733.1	Oprm1
NM_001304735.1	Oprm1
NM_001304737.1	Oprm1
XM_008758731.2	Oprm1
NM_001038599.2	Oprm1
NM_013071.2	Oprm1
NR_027877.1	Oprm1
NM_001038601.2	Oprm1
NM_001038600.2	Oprm1
XM_017589333.1	Ipcef1
XM_017589338.1	Ipcef1
XM_017589336.1	Ipcef1
XM_017589335.1	Ipcef1
XM_017589337.1	Ipcef1
XM_006227902.3	Tiam2
XM_017589893.1	Tiam2
XM_017589890.1	Tiam2
XM_017589892.1	Tiam2
XM_017589891.1	Tiam2
XM_006227904.3	Tiam2
XM_008758738.2	Tiam2
NM_181474.2	Tfb1m
NM_001004216.1	Nox3
XR_001835601.1	LOC108349518
NM_001039343.1	Zdhhc14
XM_006227885.3	Zdhhc14
XR_349967.3	Zdhhc14
XM_006227886.3	Zdhhc14
XM_006227884.3	Zdhhc14
NM_001127637.1	Snx9
NM_032071.2	Synj2
NM_001113372.1	Synj2
NM_001113371.1	Synj2
XM_008758737.2	Tulp4
XM_017589548.1	Tulp4
XM_008758736.2	Tulp4
XM_006227887.3	Tulp4
NM_001109137.1	Tulp4
NM_019357.1	Ezr
XM_008758742.2	Rsph3
XM_006227910.3	Rsph3
XM_006227909.3	Rsph3
XM_006227911.3	Rsph3
XM_008758741.2	Rsph3
XM_003748694.4	Rsph3
XR_589936.2	LOC103690969
XR_589935.2	LOC103690969
XR_001835609.1	LOC102553528
XM_017589515.1	Mas1l
XM_017589516.1	Mas1l
XM_017589517.1	Mas1l
XM_017588807.1	Mas1
NM_012757.2	Mas1
XM_006227860.3	Mas1
XM_017588808.1	Mas1
NM_019230.1	Slc22a3
XM_006227874.3	Map3k4
XM_006227873.3	Map3k4
XM_006227872.3	Map3k4
NM_001107456.1	Map3k4
XM_006227856.3	Agpat4
XM_006227857.3	Agpat4
NM_133406.1	Agpat4
XM_017589896.1	LOC108348175
NM_001115021.1	Qk
XR_001835617.1	LOC108349524
NM_001161835.1	T2
XM_017589720.1	T2
XM_017589717.1	T2
XM_017589716.1	T2
XM_006227922.3	Ccr6
NM_001013145.1	Ccr6
NM_013217.2	Afdn
XM_017590505.1	LOC103690981
XR_001836281.1	LOC103690990
XR_001836283.1	LOC103690990
XR_589970.2	LOC103690990
XR_001836282.1	LOC103690990
XR_001836284.1	LOC103694999
XR_001836270.1	LOC102546709
XM_006227958.2	Smoc2
NM_001106215.2	Smoc2
XM_017589898.1	Wdr27
XM_008758805.2	Wdr27
XM_008758808.2	Wdr27
XM_017589900.1	Wdr27
XM_017589899.1	Wdr27
XM_008758810.2	Wdr27
XM_008758811.2	Wdr27
XM_008758813.2	Wdr27
XM_008758806.2	Wdr27
XM_008758807.2	Wdr27
XM_008758812.2	Wdr27
XR_350077.3	LOC102550953
NM_001108903.2	Prdm9
XM_017589463.1	Prdm9
XM_017589464.1	Prdm9
XM_017589465.1	Prdm9
XM_017589903.1	Rgmb
XM_006227983.3	Rgmb
XM_006227982.3	Rgmb
XM_017588728.1	Lnpep
XM_008758818.2	Lnpep
NM_001113403.1	Lnpep
NM_133574.1	Lnpep
XM_006227984.3	LOC102552823
XR_001835627.1	LOC108349527
XM_008758828.2	LOC682206
XR_001835634.1	LOC108349531
XR_350102.3	LOC102555191
XR_350123.3	LOC102554457
NM_001099471.1	Vom2r26
XM_017588877.1	Vom2r26
NM_001037357.2	Lilrb3l
XM_008758873.1	LOC683420
XM_006228075.3	Tsen34l1
XM_003748716.4	Tsen34l1
XM_017588639.1	Tsen34l1
NM_001313942.1	Tsen34l1
XM_008758839.2	Tsen34l1
XM_002728680.4	LOC100359972
XM_017589924.1	LOC100359972
XR_001835640.1	LOC103691003
XR_590022.2	LOC103691003
XR_001835639.1	LOC103691003
